Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,로버트월터스코리아(주),[IT/데이터분석] Data Analyst,서울중구 / 경력3년↑ / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50370820&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,한패스(주),[한패스(주)/데이터분석팀] Google Analytics 데이터분석가,서울성동구 / 경력 / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50187612&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,HR컨설팅(주),유통대기업 데이터분석가 책임 8-12년,서울강남구 / 경력 4~20년 / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50334981&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)에이블리코퍼레이션,[에이블리] 데이터 분석가 (채용 연계형 인턴),서울서초구 / 신입 / 학력무관 / 인턴직 / 230 만원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50326476&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,쿠팡풀필먼트서비스(유),[쿠팡 시흥1센터] 물류센터 데이터 분석 현장관리자 채용,경기시흥시 / 경력무관 / 학력무관 / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50365480&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)한국정보통계,[통계팀] 데이터 분석가(사회조사분석사),전북전주시 완산구 / 경력무관 / 초대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50374309&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,콘센트릭스서비스코리아(유),[Catalyst] GA/AA 데이터분석,서울강남구 / 경력 1~11년 / 학력무관 / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50073613&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)씨아이템프러리,현대카드 카드OP기획팀  채용 / 데이터 업무 / 실적 분석 업무,서울영등포구 / 경력무관 / 학력무관 / 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50168292&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)전북은행,데이터분석가 경력직 모집,전북전주시 덕진구 / 경력10년↑ / 대졸↑ / 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50320168&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,한국평가데이터(주),[서비스운영 및 데이터분석] 2025년 한국평가데이터 계약직원,서울영등포구 / 경력무관 / 대졸↑ / 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50158018&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
